title_id,slug,primary_title,alt_titles,year,episode_count,status,genres,tropes,synopsis_short,spice_level,poster_ref,source_urls,last_verified,data_confidence,source
her-double-his-trouble,her-double-his-trouble,"Her Double, His Trouble",,2025,,complete,drama,revenge;hidden identity,CEO Erin steps into her murdered twin sister's life to psychologically destroy the husband and best friend who killed her.,,,https://www.reelshort.com/movie/her-double-his-trouble-689e222a75034b7ff90fd71b,2026-07-14,verified,reelshort_tag_scrape_2026-07-14
dark-notes,dark-notes,Dark Notes,,2026,,complete,dark romance,forbidden romance;age gap,Adapted from Pam Godwin's novel: music student Ivory and her dominating professor Emeric begin a taboo relationship that could destroy everything.,,,https://www.reelshort.com/movie/dark-notes-6a0cb99ac2308bcd5308bc59,2026-07-14,verified,reelshort_tag_scrape_2026-07-14
daddy-december,daddy-december,Daddy December,,2024,,complete,romance,one night stand;holiday romance,"The night before her unwanted wedding, Holly's last night of freedom collides with Nick, a santa stripper who is also her groom's best man.",,,https://www.reelshort.com/movie/daddy-december-673c6358eb602c35440e014a,2026-07-14,verified,reelshort_tag_scrape_2026-07-14
pucked-and-pregnant,pucked-and-pregnant,Pucked and Pregnant,,2025,,complete,romance,sports romance;pregnancy,Hockey player Logan and Alexis fall for each other before discovering he accidentally killed her brother on the ice a year earlier.,,,https://www.reelshort.com/movie/pucked-and-pregnant-677f61d34c0424fd9a082408,2026-07-14,verified,reelshort_tag_scrape_2026-07-14
move-aside-i-m-the-final-boss,move-aside-i-m-the-final-boss,Move Aside! I'm the Final Boss,,2025,,complete,drama,hidden identity;rags to riches;revenge,"Kingsley, secret King of King's Corps and the richest man on Earth, returns from war to be dumped as a nobody. Regret follows.",,,https://www.reelshort.com/movie/move-aside-i-m-the-final-boss-67c24a90717e250f170c4ebc,2026-07-14,verified,reelshort_tag_scrape_2026-07-14
you-fired-a-tech-genius,you-fired-a-tech-genius,You Fired A Tech Genius,,2025,,complete,drama,revenge;hidden identity,"Fired by his CEO's son, Silicon Valley genius Erik joins the rival company and bankrupts his old employer.",,,https://www.reelshort.com/movie/you-fired-a-tech-genius-677db51b4b143c5a8007f0f1,2026-07-14,verified,reelshort_tag_scrape_2026-07-14
cooking-my-way-back-to-love,cooking-my-way-back-to-love,Cooking My Way Back to Love,,2025,,complete,drama,second chance;revenge,"A legendary chef broken by grief rebuilds from homelessness in a small restaurant kitchen, then picks his knife back up for revenge.",,,https://www.reelshort.com/movie/cooking-my-way-back-to-love-6858fbb2ba1325d77905c8c6,2026-07-14,verified,reelshort_tag_scrape_2026-07-14
the-deaf-heiress-s-secret,the-deaf-heiress-s-secret,The Deaf Heiress's Secret,,2025,,complete,drama,heiress;hidden identity;revenge,A deaf heiress secretly regains her hearing and plays along while gathering evidence against the schemers around her.,,,https://www.reelshort.com/movie/the-deaf-heiress-s-secret-68075726bfe31ae241029d10,2026-07-14,verified,reelshort_tag_scrape_2026-07-14
understated-guardian-king,understated-guardian-king,Understated Guardian King,,2025,,complete,action,bodyguard;contract marriage;revenge,"Retired special forces operator Cole hides as a security guard to protect his fallen comrade's sister, then is forced into a fake marriage and a corporate war.",,,https://www.reelshort.com/movie/understated-guardian-king-69362dca0f1ca1629406d3d7,2026-07-14,verified,reelshort_tag_scrape_2026-07-14
i-m-the-one-in-charge,i-m-the-one-in-charge,I'm The One In Charge,I'm The One In Charge (English-dubbed),2026,,complete,drama,hidden identity;rags to riches,"Christopher, secret king of a global business empire, returns from the battlefield to be dumped as a clown.",,,https://www.reelshort.com/movie/i-m-the-one-in-charge-69a5454af5f994c29609a831,2026-07-14,verified,reelshort_tag_scrape_2026-07-14
my-billionaire-ever-after,my-billionaire-ever-after,My Billionaire Ever After,,2025,,complete,romance,hidden identity;billionaire;fake dating,"Fleeing an arranged marriage, Aria fake-marries food truck worker Norman, who is secretly a billionaire CEO.",,,https://www.reelshort.com/movie/my-billionaire-ever-after-678b0e4df513a20e830d9372,2026-07-14,verified,reelshort_tag_scrape_2026-07-14
wrong-marriage-fated-groom,wrong-marriage-fated-groom,"Wrong Marriage, Fated Groom",,2025,,complete,romance,hidden identity;fake dating;mistaken identity,"Dumped at the altar, Emily marries the wrong man: her own billionaire CEO, who hides his identity while her saboteurs circle.",,,https://www.reelshort.com/movie/wrong-marriage-fated-groom-678df4308987856546031790,2026-07-14,verified,reelshort_tag_scrape_2026-07-14
the-lady-boss-s-small-town-valentine,the-lady-boss-s-small-town-valentine,The Lady Boss's Small Town Valentine,,2025,,complete,romance,enemies to lovers;small town,A workaholic executive is exiled to rescue a failing mountain-town hotel and forced to share a chalet with its people-first co-manager.,,,https://www.reelshort.com/movie/the-lady-boss-s-small-town-valentine-678dfe853bd9b5be490a13a0,2026-07-14,verified,reelshort_tag_scrape_2026-07-14
pregnant-by-my-tough-daddy-ceo,pregnant-by-my-tough-daddy-ceo,Pregnant by My Tough Daddy CEO,,2025,,complete,romance,one night stand;pregnancy;billionaire,"Broke and bullied, she is rescued by a CEO, ends up pregnant with twins after one night, and moves into his house.",,,https://www.reelshort.com/movie/pregnant-by-my-tough-daddy-ceo-6794217458c8dfcacc00b8be,2026-07-14,verified,reelshort_tag_scrape_2026-07-14
falling-for-my-ex-s-mafia-dad,falling-for-my-ex-s-mafia-dad,Falling for My Ex's Mafia Dad,,2025,,complete,dark romance,mafia;age gap;forbidden romance;pregnancy,"After catching her boyfriend cheating, Fay is pulled into a mob alliance marriage and falls for his father, the Mafia King.",,,https://www.reelshort.com/movie/falling-for-my-ex-s-mafia-dad-67b55429a9d0ac04b202017f,2026-07-14,verified,reelshort_tag_scrape_2026-07-14
homeless-billionaire-baby-daddy,homeless-billionaire-baby-daddy,Homeless Billionaire Baby Daddy,,2025,,complete,romance,one night stand;secret baby;amnesia,"Five years after an accident erased his memory, a homeless Alex is recognized by the daughter he never knew he had.",,,https://www.reelshort.com/movie/homeless-billionaire-baby-daddy-68debdd66704ca4a470c01cc,2026-07-14,verified,reelshort_tag_scrape_2026-07-14
